Participation_rate_1,Amplitude_1,Participation_rate_2,Amplitude_2,Participation_rate_3,Amplitude_3,Participation_rate_4,Amplitude_4,Participation_rate_5,Amplitude_5,Participation_rate_6,Amplitude_6,Participation_rate_7,Amplitude_7,Participation_rate_8,Amplitude_8,Participation_rate_9,Amplitude_9,Participation_rate_10,Amplitude_10
63.1428571428571,2.46590598364392,26.8000000000000,5.05419523609688,92.6250000000000,6.69643353370769,60.2500000000000,6.96390533716003,99.3333333333333,9.18599808938753,98.8888888888889,10.1649749553677,83.5000000000000,8.41182610370748,26.5333333333333,4.72917077570125,100,9.28539709288832,86.8888888888889,8.41027399292160
78.8888888888889,5.43616645063247,93.7500000000000,9.21814341151207,97.0588235294118,9.10414712793941,60.5714285714286,6.68707530588783,99.8750000000000,9.99912120679961,100,10.2044166988368,84.9230769230769,7.32161695654754,71.4444444444444,5.89098306274656,46.7692307692308,4.97965704443597,47.3333333333333,5.75972887511835
50.9411764705882,5.56615290882714,91.7500000000000,6.71684351043900,65.2000000000000,7.04117060849686,76.8571428571429,7.92310735957966,98.6875000000000,9.99833522678199,81.0666666666667,7.56747409691634,98.5333333333333,9.11598599941562,92.5333333333333,6.33138440110225,96.7500000000000,6.41934580024788,41.8750000000000,4.68678127103083
71.7647058823529,5.32419575780253,26,5.54113681260732,78.8000000000000,6.38941901648496,82.8235294117647,8.82129764306805,97.5714285714286,4.76012318577063,51.1428571428571,4.95703730054366,88.8750000000000,7.65627430152626,97.1250000000000,8.74630681672348,44,5.38363913058647,97.8750000000000,6.70383525148152
76.9000000000000,4.07540467110469,72.9000000000000,9.35372259760034,48.3529411764706,5.52884967160515,75.4285714285714,7.25509973757470,86,8.53709594278000,96.1250000000000,8.92782159424650,44.2666666666667,6.60544566372228,81.2222222222222,6.27165855166289,81.2000000000000,6.78968161076299,92.2352941176471,8.46917360200545
38.8750000000000,3.78475106006593,70.6666666666667,6.69565656996814,73.2222222222222,7.82206965146876,40.3333333333333,4.17467424681601,99.8750000000000,9.88421351017466,86.6666666666667,8.70904304460808,43.8571428571429,5.48815395208718,41.2857142857143,4.77090881259330,96,9.04860384361254,95,9.40866240235464
24,2.42884387825848,92.5555555555556,9.86893051294904,71.3750000000000,6.94790413807715,95.2000000000000,7.97064027985256,24.1333333333333,5.26370945575612,99.8823529411765,8.31161037889908,37.7142857142857,6.16736803876002,95.5714285714286,6.13530444266958,75.2857142857143,6.54417215879492,97.5000000000000,8.81137064279657
86,5.35133456870224,98.9333333333333,9.65626411632046,48.5454545454546,5.39775975036459,41.5000000000000,6.48702174933902,99.6250000000000,10.2244905257430,95.1764705882353,8.85261546715551,59.3333333333333,7.14659605338528,87.7500000000000,6.26309917399671,66,4.90372631357236,87.1428571428571,5.28786881803294
62.2500000000000,4.66671415511957,50.4000000000000,5.53864791633146,66,7.09821640635481,62.9333333333333,5.61514499786791,100,10.4482255990089,39.4482758620690,5.58883550471593,43.2000000000000,6.13185448502031,99.3750000000000,10.3634490850444,83.7500000000000,4.67051513756375,88.1333333333333,5.86172471932641
98.4615384615385,6.93523017113158,92.5882352941177,8.33994383321057,73.5000000000000,7.90973065616206,22,5.94307861720789,94.2352941176471,5.68996527461821,64.8571428571429,6.11311523930024,46,5.44069463686070,48.7692307692308,5.05795460666052,99.8823529411765,10.6216862269276,28,4.89880595811459
