Hint,theta_u,Sparsity,Size,Topography,Classification
2.8557,0.36245,0.3,0.50629,0.8085600000000001,S
3.9518,0.3803,0.02,0.68367,0.49582,S
3.2867,0.35479,0.0,1.0,0.0,NS
4.1054,0.41935,0.98,0.38,1.0,S
2.5353,0.3236,0.0,1.0,0.0,NS
4.1163,0.38179,0.0,0.8456,0.5221100000000001,S
3.7692,0.37148000000000003,0.0,0.9612,0.20739000000000002,NS
3.802,0.31221,0.0,1.0,0.0,NS
2.5216,0.44848000000000005,1.0,0.0,0.0,D
2.2639,0.37196,1.0,0.0,0.0,D
4.4733,0.36472,0.0,1.0,0.0,NS
3.2963,0.35173000000000004,0.0,1.0,0.0,NS
3.8194,0.41772,1.0,0.0,0.0,D
2.6233,0.31951999999999997,0.0,1.0,0.0,NS
4.8286,0.37248000000000003,0.0,1.0,0.0,NS
2.7932,0.32729,0.0,1.0,0.0,NS
4.4678,0.37684,0.0,1.0,0.0,NS
4.2337,0.41536999999999996,1.0,0.0,0.0,D
4.1531,0.33576999999999996,0.0,1.0,0.0,NS
3.2856,0.31166,0.0,1.0,0.0,NS
2.7537,0.33019,0.0,1.0,0.0,NS
2.9206,0.40293,1.0,0.0,0.0,D
3.9586,0.35228000000000004,0.0,1.0,0.0,NS
2.3061,0.34124,1.0,0.0,0.0,D
2.6031,0.35351,0.38,0.56129,0.89944,S
4.4403,0.36341,0.0,1.0,0.0,NS
2.0205,0.37,1.0,0.0,0.0,D
3.6419,0.3991,0.96,0.44,0.98082,S
3.2107,0.37556,0.96,0.51,0.99041,S
4.1269,0.39228,0.56,0.55818,0.9356899999999999,S
2.5971,0.38079,1.0,0.0,0.0,D
3.9130000000000003,0.32,0.0,1.0,0.0,NS
2.6193,0.32037,0.0,1.0,0.0,NS
2.2936,0.30739,0.0,1.0,0.0,NS
4.5202,0.3515,0.0,1.0,0.0,NS
3.0744,0.41978999999999994,1.0,0.0,0.0,D
3.755,0.37669,0.0,0.9556,0.24374,NS
2.6984,0.31948000000000004,0.0,1.0,0.0,NS
4.9638,0.31239,0.0,1.0,0.0,NS
4.9479,0.31499,0.0,1.0,0.0,NS
4.9537,0.37114,0.0,1.0,0.0,NS
2.8715,0.30739,0.0,1.0,0.0,NS
4.1589,0.3124,0.0,1.0,0.0,NS
3.4875,0.43396999999999997,1.0,0.0,0.0,D
2.4534,0.36893000000000004,1.0,0.0,0.0,D
3.6771,0.38775,0.68,0.51125,0.9643299999999999,S
3.9486,0.42196999999999996,1.0,0.0,0.0,D
2.7165,0.34764,0.0,1.0,0.0,NS
2.9411,0.33924,0.0,1.0,0.0,NS
2.2516,0.4026,1.0,0.0,0.0,D
4.0126,0.35333000000000003,0.0,1.0,0.0,NS
2.5462,0.37281,1.0,0.0,0.0,D
4.85,0.42988000000000004,1.0,0.0,0.0,D
2.4661,0.37178,1.0,0.0,0.0,D
2.642,0.42538000000000004,1.0,0.0,0.0,D
3.7114,0.42394,1.0,0.0,0.0,D
2.3988,0.4354,1.0,0.0,0.0,D
4.1358,0.38874000000000003,0.54,0.56261,0.9090799999999999,S
4.305,0.42866000000000004,1.0,0.0,0.0,D
4.5438,0.43098000000000003,1.0,0.0,0.0,D
4.5105,0.34836,0.0,1.0,0.0,NS
3.0616,0.31214000000000003,0.0,1.0,0.0,NS
3.6715,0.42946000000000006,1.0,0.0,0.0,D
4.9837,0.40097,0.0,0.664,0.37362,S
4.1614,0.31079,0.0,1.0,0.0,NS
3.4169,0.30335,0.0,1.0,0.0,NS
3.255,0.32994,0.0,1.0,0.0,NS
3.4975,0.3105,0.0,1.0,0.0,NS
4.3779,0.34191,0.0,1.0,0.0,NS
2.0513,0.37424,1.0,0.0,0.0,D
3.1573,0.3057,0.0,1.0,0.0,NS
4.1339999999999995,0.31371,0.0,1.0,0.0,NS
4.3442,0.37139,0.0,1.0,0.0,NS
4.1397,0.39488,0.36,0.52687,0.8693,S
3.1123,0.34838,0.0,1.0,0.0,NS
3.0493,0.43228999999999995,1.0,0.0,0.0,D
2.5789,0.33732,0.0,1.0,0.0,NS
4.2294,0.37939,0.0,0.9292,0.20048,NS
4.948,0.30801,0.0,1.0,0.0,NS
2.6797,0.42975,1.0,0.0,0.0,D
2.8875,0.39026,1.0,0.0,0.0,D
3.7002,0.43272,1.0,0.0,0.0,D
2.6404,0.32524000000000003,0.0,1.0,0.0,NS
3.2317,0.3168,0.0,1.0,0.0,NS
2.4122,0.43787,1.0,0.0,0.0,D
3.9016,0.40761,1.0,0.0,0.0,D
3.9668,0.30218,0.0,1.0,0.0,NS
4.1823,0.33163000000000004,0.0,1.0,0.0,NS
3.3916,0.37836,0.7,0.516,0.89097,S
2.5411,0.42696000000000006,1.0,0.0,0.0,D
2.2688,0.3016,0.0,1.0,0.0,NS
3.7322,0.43992,1.0,0.0,0.0,D
4.0074,0.39252,0.2,0.5425,0.5741,S
4.2623,0.36083000000000004,0.0,1.0,0.0,NS
4.1909,0.42777,1.0,0.0,0.0,D
2.5503,0.39862,1.0,0.0,0.0,D
3.8504,0.38375,0.02,0.58327,0.48593000000000003,S
2.7359,0.34594,0.0,1.0,0.0,NS
4.8912,0.31965,0.0,1.0,0.0,NS
4.6096,0.38861,0.0,0.9944,0.034245,NS
3.5106,0.38985,1.0,0.0,0.0,D
2.1149,0.42062,1.0,0.0,0.0,D
4.0296,0.42176,1.0,0.0,0.0,D
4.198,0.41686999999999996,0.78,0.41091000000000005,0.82647,S
4.8411,0.36745,0.0,1.0,0.0,NS
2.7606,0.30313,0.0,1.0,0.0,NS
2.2347,0.40591,1.0,0.0,0.0,D
2.4324,0.39701,1.0,0.0,0.0,D
4.2676,0.44292,1.0,0.0,0.0,D
3.8325,0.43181,1.0,0.0,0.0,D
3.0593,0.4008,1.0,0.0,0.0,D
2.4571,0.39878,1.0,0.0,0.0,D
4.8399,0.40039,0.0,0.6748,0.52585,S
4.9913,0.43693999999999994,1.0,0.0,0.0,D
2.4105,0.32229,0.0,1.0,0.0,NS
2.026,0.36366,1.0,0.0,0.0,D
