index,Hint,theta_u,Sparsity,Size,Topography,Classification
491,4.8666,0.40988,0,1.0,0.0,NS
493,4.1402,0.42501000000000005,0,0.614,0.57343,S
494,3.0779,0.34162,0,1.0,0.0,NS
495,2.0965,0.3774,0,0.5004,0.9444600000000001,S
496,2.2838,0.49609,0,0.2764,0.95683,S
497,4.9389,0.31519,0,1.0,0.0,NS
498,3.0339,0.39505999999999997,0,0.6168,0.62341,S
499,3.3533,0.33834000000000003,0,1.0,0.0,NS
500,3.0717,0.5872,0,0.21143,0.8784700000000001,S
502,4.3974,0.34287,0,1.0,0.0,NS
503,4.8406,0.33948,0,1.0,0.0,NS
504,2.7615,0.58986,0,0.182,0.97564,S
505,3.9692,0.43788999999999995,0,0.5244,0.94676,S
506,4.3963,0.48243,0,0.4388,0.39223,S
508,4.3046,0.35762,0,1.0,0.0,NS
509,4.8679,0.39718000000000003,0,1.0,0.0,NS
510,2.5782,0.47494,0,0.3468,0.94129,S
511,3.1941,0.51986,0,0.32,0.88854,S
512,3.3174,0.31929,0,1.0,0.0,NS
514,2.6014,0.48294,0,0.3408,0.43261000000000005,S
516,3.8206,0.39205,0,0.8652,0.73468,S
518,3.0336,0.58182,0,0.2116,0.6641699999999999,S
519,4.6712,0.37261,0,1.0,0.0,NS
520,2.2271,0.40425,0,0.45,0.84585,S
521,3.4848,0.5985699999999999,0,0.21755,0.7582300000000001,S
522,4.106,0.49349,0,0.4024,0.7467600000000001,S
523,4.0435,0.30684,0,1.0,0.0,NS
524,3.2321,0.57902,0,0.2332,0.90436,S
525,2.3659,0.48123,0,0.314,0.9841700000000001,S
527,3.0262,0.38822,0,0.7676,0.3295,S
528,3.1434,0.5953,0,0.204,0.9671,S
529,3.7572,0.42868999999999996,0,0.542,0.88077,S
530,3.6622,0.34947,0,1.0,0.0,NS
531,4.0144,0.30962,0,1.0,0.0,NS
532,3.2737,0.32439,0,1.0,0.0,NS
534,2.0523,0.42895,0,0.3648,0.51799,S
535,4.581,0.46905,0,0.4696,0.58782,S
536,3.9428,0.5816,0,0.26,0.88221,S
539,2.2032,0.32114000000000004,0,1.0,0.0,NS
540,3.6248,0.55072,0,0.2936,0.8557299999999999,S
541,2.9208,0.44735,0,0.436,0.5280600000000001,S
542,3.3031,0.57024,0,0.2476,0.93295,S
543,2.8428,0.51779,0,0.2984,0.93324,S
544,4.5776,0.56789,0,0.2996,0.96767,S
545,3.5810000000000004,0.48654,0,0.3936,0.96815,S
548,2.6947,0.35136999999999996,0,1.0,0.0,NS
552,2.0757,0.52099,0,0.20122,0.8729,S
553,2.5628,0.569,0,0.1916,0.8025899999999999,S
554,4.3872,0.36204000000000003,0,1.0,0.0,NS
555,3.5983,0.36901,0,1.0,0.0,NS
556,3.7208,0.51727,0,0.3476,0.72902,S
558,3.2753,0.45811,0,0.44,0.68835,S
559,4.5561,0.39466,0,1.0,0.0,NS
560,3.2449,0.45553,0,0.4376,0.70763,S
561,2.815,0.46433,0,0.386,0.71444,S
564,2.1369,0.34217,0,0.8828,0.30667,S
565,4.4872,0.54414,0,0.3336,0.33899,S
566,3.4579,0.47421,0,0.414,0.39252,S
567,3.5016,0.42826000000000003,0,0.5228,0.72441,S
569,2.3986,0.4635,0,0.3432,0.48115,S
570,2.9941,0.53103,0,0.2868,0.97957,S
571,2.7769,0.58867,0,0.184,0.9796600000000001,S
572,3.7235,0.44326000000000004,0,0.4968,0.79338,S
573,4.6639,0.30955,0,1.0,0.0,NS
574,4.4711,0.56014,0,0.3108,0.96067,S
577,2.3439,0.30514,0,1.0,0.0,NS
578,2.0224,0.52028,0,0.1932,0.96499,S
579,4.048,0.41793,0,0.6776,0.58532,S
580,4.7045,0.58181,0,0.2848,0.9073399999999999,S
581,3.3352,0.55312,0,0.2764,0.93065,S
582,2.5747,0.48413999999999996,0,0.3288,0.927,S
584,2.4871,0.30611,0,1.0,0.0,NS
586,4.7757,0.48085,0,0.4496,0.9601,S
588,4.2446,0.55437,0,0.31,0.67156,S
590,4.2073,0.49685,0,0.4016,0.89381,S
591,3.2110000000000003,0.35611,0,1.0,0.0,NS
597,3.9556,0.46055,0,0.46399999999999997,0.94647,S
601,3.5049,0.35925,0,1.0,0.0,NS
602,3.1981,0.5236,0,0.314,0.79472,S
603,4.3157,0.35058,0,1.0,0.0,NS
604,3.9201,0.43441,0,0.53,0.2964,S
605,4.7351,0.5505899999999999,0,0.32799999999999996,0.93266,S
606,3.2737,0.5928100000000001,0,0.21,0.95031,S
607,3.4924,0.44191,0,0.4904,0.5829300000000001,S
608,4.2789,0.56208,0,0.29600000000000004,0.83319,S
610,3.3129,0.38106,0,1.0,0.0,NS
611,3.3466,0.4707,0,0.4124,0.82139,S
613,2.9083,0.45466999999999996,0,0.4164,0.42733999999999994,S
614,3.0733,0.34586999999999996,0,1.0,0.0,NS
615,3.2476,0.39178,0,0.9516,0.058417,NS
616,2.1701,0.43696,0,0.3672,0.95568,S
617,3.7161,0.38405,0,1.0,0.0,NS
618,2.6495,0.40557,0,0.524,0.3742,S
619,3.8809,0.43346,0,0.5336,0.52441,S
620,4.7684,0.46458999999999995,0,0.4836,0.8823,S
621,3.8304,0.44238,0,0.5128,0.54388,S
622,2.1094,0.48403,0,0.2776,0.8300200000000001,S
623,2.2849,0.59138,0,0.13172,0.7689699999999999,S
624,2.4835,0.38322,0,0.5660000000000001,0.96796,S
625,3.3495,0.34153,0,1.0,0.0,NS
626,4.236000000000001,0.4417,0,0.5348,0.8214899999999999,S
628,3.9587,0.38151,0,1.0,0.0,NS
629,4.9089,0.39544,0,1.0,0.0,NS
630,4.3155,0.34065,0,1.0,0.0,NS
631,3.6148,0.37885,0,1.0,0.0,NS
632,2.3071,0.51578,0,0.248,0.8212,S
633,2.0777,0.41236999999999996,0,0.40399999999999997,0.9650799999999999,S
634,3.34,0.537,0,0.3004,0.8154399999999999,S
635,3.4885,0.51952,0,0.3308,0.9408200000000001,S
637,2.992,0.31515,0,1.0,0.0,NS
638,2.9766,0.4067,0,0.5408,0.6844100000000001,S
639,3.5748,0.37449,0,1.0,0.0,NS
642,3.9365,0.39259,0,1.0,0.0,NS
643,2.8355,0.53191,0,0.27,0.96365,S
644,2.8394,0.40919,0,0.524,0.41218,S
645,3.5448,0.4199,0,0.5579999999999999,0.7342,S
646,2.8812,0.57999,0,0.20800000000000002,0.98408,S
648,3.411,0.39185,0,0.9888,0.0,NS
649,2.0215,0.38893,0,0.45399999999999996,0.9121299999999999,S
650,3.7386,0.31781,0,1.0,0.0,NS
651,3.2425,0.54208,0,0.2904,0.92211,S
654,4.8178,0.5081,0,0.402,0.87405,S
656,3.9061,0.49848000000000003,0,0.3848,0.9645100000000001,S
657,2.8536,0.55228,0,0.2484,0.9343899999999999,S
658,3.4735,0.36006,0,1.0,0.0,NS
659,3.4144,0.49381,0,0.3688,0.82034,S
660,4.0287,0.45824,0,0.4812,0.6855600000000001,S
661,3.1695,0.33438,0,1.0,0.0,NS
662,3.4462,0.30718,0,1.0,0.0,NS
663,2.6276,0.30241,0,1.0,0.0,NS
664,3.3612,0.54115,0,0.2944,0.42954,S
665,4.3496,0.56318,0,0.3016,0.9623,S
666,3.6818,0.30396,0,1.0,0.0,NS
667,2.0846,0.52423,0,0.19792,0.85729,S
669,2.5053,0.35304,0,1.0,0.0,NS
670,3.7958,0.42793000000000003,0,0.5564,0.37305,S
671,2.7946,0.39804,0,0.5508,0.75866,S
672,4.9081,0.51474,0,0.3892,0.8893,S
673,3.3443,0.5081399999999999,0,0.34600000000000003,0.70782,S
674,2.1591,0.56921,0,0.14695999999999998,0.93785,S
